PlayerID,LastName,FirstName,TeamID
1,Albright,Christian,1101
2,Cameron,Tobias,1101
3,Cobb,Chase,1101
4,Cooke,Austin,1101
5,Crnic,Jovan,1101
6,Daniels,Damien,1101
7,Farquhar,Hayden,1101
8,Foster,Tevin,1101
9,Franklin,Jaylen,1101
10,Friday,Jalone,1101
11,Gayman,Clay,1101
12,Grant,Michael,1101
13,Green,Drake,1101
14,Hanson,David,1101
15,Hawkins,Harrison,1101
16,Hiepler,Paul,1101
17,Howell,Hayden,1101
18,Kohl,Kolton,1101
19,Langston,Diamante,1101
20,Lenox,Trey,1101
21,Lewis,Jaren,1101
22,Little,Jalen,1101
23,Maura,K.J.,1101
24,Maxwell,B.J.,1101
25,Milosavljevic,Alexsander,1101
26,Payne,Riley,1101
27,Pleasant,Joe,1101
28,Porter,Duran,1101
29,Reynolds,Jadon,1101
30,Ricks,Payten,1101
31,Tripp,Isaiah,1101
32,Wentz,Parker,1101
33,Williams,Ladarrien,1101
34,Abbott,Malik,1102
35,Akaya,Ameka,1102
36,Anderson,Jason,1102
37,Broekhuis,Kyle,1102
38,Brown,LeSean,1102
39,Chacon,Jace,1102
40,Couper,Zach,1102
41,Culp,Keegan,1102
42,Dewane,Jonathan,1102
43,Earls,Delovell,1102
44,Edwards,James,1102
45,Graham,Hayden,1102
46,Hammonds,Justin,1102
47,Hughes,Bryce,1102
48,Hummer,Danny,1102
49,James,Dezmond,1102
50,Joyce,Chris,1102
51,Kinrade,Abe,1102
52,Kocur,Zach,1102
53,Leonard,Brendan,1102
54,Louder,Pervis,1102
55,Lutes,Jake,1102
56,Lyons,Trevor,1102
57,Manning,Ryan,1102
58,Moer,Zach,1102
59,Monson,Isaac,1102
60,Mooney,Matt,1102
61,Morris,Caleb,1102
62,Norman,Dane,1102
63,O'Briant,Charlie,1102
64,Olesinski,Marek,1102
65,Rene,Nick,1102
66,Scottie,Lavelle,1102
67,Siples,CJ,1102
68,Swan,Ryan,1102
69,Tomes,Sid,1102
70,Toohey,Frank,1102
71,Tuss,Joe,1102
72,Van,Jacob,1102
73,Van Soelen,Keaton,1102
74,Walker,AJ,1102
75,Williams,Kamryn,1102
76,Yon,Max,1102
77,Anderson,Carlitos,1103
78,Banks,Channel,1103
79,Cheatham Jr.,Kwan,1103
80,Cheese,Tyler,1103
81,Cotton,Virshon,1103
